,date,HomeTeam,AwayTeam
0,21.09. 00:00,Telugu Titans,Patna Pirates
1,21.09. 01:00,Puneri Paltan,Bengaluru Bulls
2,22.09. 00:00,Jaipur Pink Panthers,Gujarat FortuneGiants
3,22.09. 01:00,UP Yoddha,Tamil Thalaivas
4,23.09. 00:00,U Mumba,Gujarat FortuneGiants
5,23.09. 01:00,Jaipur Pink Panthers,Bengal Warriors
6,24.09. 00:00,Patna Pirates,Haryana Steelers
7,24.09. 01:00,Dabang Delhi,Bengaluru Bulls
8,26.09. 00:00,Telugu Titans,Bengal Warriors
9,26.09. 01:00,Jaipur Pink Panthers,Puneri Paltan
10,27.09. 00:00,Patna Pirates,Dabang Delhi
11,28.09. 00:00,U Mumba,Bengaluru Bulls
12,28.09. 01:00,Jaipur Pink Panthers,Telugu Titans
13,29.09. 00:00,Haryana Steelers,UP Yoddha
14,29.09. 01:00,Gujarat FortuneGiants,Tamil Thalaivas
15,30.09. 00:00,Puneri Paltan,Dabang Delhi
16,30.09. 01:00,Haryana Steelers,Gujarat FortuneGiants
17,01.10. 00:00,Bengal Warriors,Dabang Delhi
18,01.10. 01:00,Tamil Thalaivas,U Mumba
19,03.10. 00:00,U Mumba,Patna Pirates
20,03.10. 01:00,Haryana Steelers,Bengaluru Bulls
21,04.10. 00:00,Telugu Titans,Puneri Paltan
22,05.10. 00:00,Jaipur Pink Panthers,Bengaluru Bulls
23,05.10. 01:00,Haryana Steelers,Telugu Titans
24,06.10. 00:00,UP Yoddha,Dabang Delhi
25,06.10. 01:00,Gujarat FortuneGiants,Patna Pirates
26,07.10. 00:00,Bengal Warriors,Patna Pirates
27,07.10. 01:00,UP Yoddha,Puneri Paltan
28,08.10. 00:00,Telugu Titans,Gujarat FortuneGiants
29,08.10. 01:00,Tamil Thalaivas,Jaipur Pink Panthers
30,10.10. 00:00,Bengal Warriors,Tamil Thalaivas
31,10.10. 01:00,UP Yoddha,Telugu Titans
32,11.10. 00:00,U Mumba,Haryana Steelers
33,12.10. 00:00,Dabang Delhi,U Mumba
34,12.10. 01:00,UP Yoddha,Bengaluru Bulls
